Age,AnnualIncome,FamilyMembers,ChronicDiseases,FrequentFlyer,EverTravelledAbroad,TravelInsurance,Employment Type_Government Sector,Employment Type_Private Sector/Self Employed,GraduateOrNot_No,GraduateOrNot_Yes
31,400000,6,1,0,0,0,1,0,0,1
31,1250000,7,0,0,0,0,0,1,0,1
34,500000,4,1,0,0,1,0,1,0,1
28,700000,3,1,0,0,0,0,1,0,1
28,700000,8,1,1,0,0,0,1,0,1
25,1150000,4,0,0,0,0,0,1,1,0
31,1300000,4,0,0,0,0,1,0,0,1
31,1350000,3,0,1,1,1,0,1,0,1
28,1450000,6,1,1,1,1,0,1,0,1
33,800000,3,0,1,0,0,1,0,0,1
31,400000,9,1,0,0,0,1,0,0,1
26,1400000,5,0,1,1,1,0,1,0,1
32,850000,6,0,0,0,1,1,0,0,1
31,1500000,6,0,1,1,1,1,0,0,1
31,400000,3,0,0,0,0,1,0,0,1
34,700000,7,0,0,0,0,0,1,0,1
28,1150000,4,1,0,0,0,0,1,0,1
28,800000,7,0,0,0,1,0,1,0,1
29,1050000,5,1,0,0,1,0,1,0,1
34,1500000,2,0,1,1,1,0,1,0,1
28,1150000,6,0,1,0,0,0,1,0,1
29,350000,3,0,0,0,1,0,1,0,1
31,1100000,4,0,0,0,0,0,1,0,1
28,600000,9,0,0,0,1,1,0,0,1
31,1500000,7,0,1,1,0,1,0,0,1
35,800000,4,0,0,1,0,0,1,1,0
34,1300000,6,0,1,0,1,0,1,1,0
28,1250000,2,0,1,0,0,0,1,0,1
26,600000,4,0,1,0,0,0,1,0,1
31,900000,3,0,0,0,0,0,1,0,1
30,550000,6,0,1,1,0,0,1,1,0
31,300000,4,0,0,0,0,1,0,1,0
25,750000,4,0,0,0,1,1,0,0,1
32,850000,3,0,0,0,0,1,0,0,1
28,800000,9,0,0,0,1,0,1,0,1
33,1400000,4,0,1,1,0,0,1,0,1
31,300000,9,1,0,0,0,1,0,1,0
34,700000,4,0,0,0,0,0,1,0,1
34,1100000,2,0,0,0,0,1,0,0,1
33,1500000,5,1,1,1,1,0,1,0,1
25,1400000,3,1,1,1,1,0,1,0,1
33,550000,5,0,0,0,0,0,1,0,1
26,1500000,2,1,1,1,1,0,1,0,1
28,1200000,4,0,1,0,1,0,1,0,1
25,1400000,7,0,0,1,1,0,1,0,1
34,1400000,5,1,0,1,1,0,1,1,0
25,1400000,4,0,0,1,1,0,1,0,1
35,1100000,5,0,0,0,0,1,0,0,1
28,600000,3,0,0,0,0,0,1,0,1
