Age,AnnualIncome,FamilyMembers,ChronicDiseases,FrequentFlyer,EverTravelledAbroad,TravelInsurance,mean_income_per_member,Employment Type_Government Sector,Employment Type_Private Sector/Self Employed,GraduateOrNot_No,GraduateOrNot_Yes
31,400000,6,1,0,0,0,57142.857142857145,1,0,0,1
31,1250000,7,0,0,0,0,156250.0,0,1,0,1
34,500000,4,1,0,0,1,100000.0,0,1,0,1
28,700000,3,1,0,0,0,175000.0,0,1,0,1
28,700000,8,1,1,0,0,77777.77777777778,0,1,0,1
25,1150000,4,0,0,0,0,230000.0,0,1,1,0
31,1300000,4,0,0,0,0,260000.0,1,0,0,1
31,1350000,3,0,1,1,1,337500.0,0,1,0,1
28,1450000,6,1,1,1,1,207142.85714285713,0,1,0,1
33,800000,3,0,1,0,0,200000.0,1,0,0,1
31,400000,9,1,0,0,0,40000.0,1,0,0,1
26,1400000,5,0,1,1,1,233333.33333333334,0,1,0,1
32,850000,6,0,0,0,1,121428.57142857143,1,0,0,1
31,1500000,6,0,1,1,1,214285.7142857143,1,0,0,1
31,400000,3,0,0,0,0,100000.0,1,0,0,1
34,700000,7,0,0,0,0,87500.0,0,1,0,1
28,1150000,4,1,0,0,0,230000.0,0,1,0,1
28,800000,7,0,0,0,1,100000.0,0,1,0,1
29,1050000,5,1,0,0,1,175000.0,0,1,0,1
34,1500000,2,0,1,1,1,500000.0,0,1,0,1
28,1150000,6,0,1,0,0,164285.7142857143,0,1,0,1
29,350000,3,0,0,0,1,87500.0,0,1,0,1
31,1100000,4,0,0,0,0,220000.0,0,1,0,1
28,600000,9,0,0,0,1,60000.0,1,0,0,1
31,1500000,7,0,1,1,0,187500.0,1,0,0,1
35,800000,4,0,0,1,0,160000.0,0,1,1,0
34,1300000,6,0,1,0,1,185714.2857142857,0,1,1,0
28,1250000,2,0,1,0,0,416666.6666666667,0,1,0,1
26,600000,4,0,1,0,0,120000.0,0,1,0,1
31,900000,3,0,0,0,0,225000.0,0,1,0,1
30,550000,6,0,1,1,0,78571.42857142857,0,1,1,0
31,300000,4,0,0,0,0,60000.0,1,0,1,0
25,750000,4,0,0,0,1,150000.0,1,0,0,1
32,850000,3,0,0,0,0,212500.0,1,0,0,1
28,800000,9,0,0,0,1,80000.0,0,1,0,1
33,1400000,4,0,1,1,0,280000.0,0,1,0,1
31,300000,9,1,0,0,0,30000.0,1,0,1,0
34,700000,4,0,0,0,0,140000.0,0,1,0,1
34,1100000,2,0,0,0,0,366666.6666666667,1,0,0,1
33,1500000,5,1,1,1,1,250000.0,0,1,0,1
25,1400000,3,1,1,1,1,350000.0,0,1,0,1
33,550000,5,0,0,0,0,91666.66666666667,0,1,0,1
26,1500000,2,1,1,1,1,500000.0,0,1,0,1
28,1200000,4,0,1,0,1,240000.0,0,1,0,1
25,1400000,7,0,0,1,1,175000.0,0,1,0,1
34,1400000,5,1,0,1,1,233333.33333333334,0,1,1,0
25,1400000,4,0,0,1,1,280000.0,0,1,0,1
35,1100000,5,0,0,0,0,183333.33333333334,1,0,0,1
28,600000,3,0,0,0,0,150000.0,0,1,0,1
31,1350000,3,0,0,1,1,337500.0,0,1,0,1
31,1250000,3,1,0,0,0,312500.0,0,1,0,1
29,1050000,3,0,0,0,0,262500.0,0,1,0,1
31,1250000,4,0,0,1,0,250000.0,0,1,0,1
28,300000,2,0,0,0,0,100000.0,1,0,0,1
29,1200000,7,0,0,0,0,150000.0,0,1,0,1
26,750000,5,0,0,0,0,125000.0,0,1,0,1
28,550000,3,0,0,0,1,137500.0,0,1,0,1
34,1000000,6,0,0,0,1,142857.14285714287,0,1,0,1
33,1400000,6,0,1,1,1,200000.0,0,1,0,1
33,1400000,9,0,1,1,1,140000.0,0,1,0,1
31,1250000,4,0,1,1,0,250000.0,0,1,0,1
32,800000,3,0,1,0,1,200000.0,1,0,0,1
28,800000,4,0,1,0,0,160000.0,0,1,0,1
27,500000,2,0,0,0,0,166666.66666666666,1,0,0,1
30,1450000,9,0,1,1,1,145000.0,0,1,1,0
26,600000,5,1,0,0,0,100000.0,0,1,0,1
30,800000,6,0,1,0,0,114285.71428571429,0,1,1,0
34,1500000,3,0,1,1,1,375000.0,0,1,0,1
29,350000,4,0,0,0,0,70000.0,0,1,0,1
31,300000,4,0,0,0,0,60000.0,1,0,1,0
34,1300000,4,0,0,0,0,260000.0,1,0,0,1
28,750000,6,0,1,0,0,107142.85714285714,0,1,0,1
28,800000,6,1,1,0,0,114285.71428571429,0,1,0,1
28,750000,7,0,1,0,0,93750.0,0,1,0,1
28,700000,4,1,0,0,0,140000.0,0,1,0,1
34,1300000,5,0,0,0,0,216666.66666666666,0,1,0,1
29,1200000,3,0,0,0,1,300000.0,0,1,0,1
31,400000,4,0,0,0,0,80000.0,1,0,1,0
31,1300000,3,0,0,1,1,325000.0,1,0,0,1
31,400000,5,1,0,0,0,66666.66666666667,1,0,1,0
26,1300000,4,1,0,0,0,260000.0,0,1,0,1
25,1150000,8,0,0,0,0,127777.77777777778,0,1,1,0
28,1250000,4,1,0,0,0,250000.0,0,1,0,1
